"";"groupWnt1.OVX.b1";"groupWnt1.OVX.b2";"groupWnt1.OVX.b3";"AveExpr";"F";"P.Value";"adj.P.Val"
"Hbb-bs";-0,514979221231738;-2,30481857934238;0,0237995771991208;1,29142334916494;58,9814933283191;7,19819766071349e-10;1,34779052999199e-05
"Hba-a2";-0,210358919507649;-1,53364091460495;-0,0868871117349299;2,47033974388005;39,0906713821567;2,28353916703668e-08;0,000213784936817974
"Hbb-bt";-0,689299642277042;-2,00346409625285;-0,159855439315699;0,75187464520577;28,4769599541326;2,85353337842271e-07;0,00178098529925289
"Bpgm";-0,333936884773695;-1,44257366403116;-0,0543240635219706;1,01285937276058;20,8836120288956;2,92275197005733e-06;0,0136814019718383
"Slpi";0,104099677156203;-0,328022747341963;-0,151975760364301;0,261498837899987;17,3333287672328;1,09035806016256e-05;0,0408317286369677
"Alas2";-0,217371070633396;-0,794390263286542;-0,0801771750012568;0,387355950272642;16,6148910514101;1,45686270765504e-05;0,0454638288968884
"Ptp4a3";-0,131274708967573;-0,344958990340925;0,087841873575547;0,267075966083873;16,0093603006887;1,87286163695436e-05;0,0500963732719049
"Gnas";-0,252218883411643;-0,0597427190274083;0,17363093046015;0,227061801620289;14,8054496260859;3,14920319473581e-05;0,0737071007727917
"H1f1";0,275393114463979;0,639135099300495;0,0803553471187461;2,16591148563392;14,1794374786243;4,17383580073014e-05;0,0868343350365236
"H1f3";0,0359935550767052;-0,801522109862737;-0,0835834157370278;1,01318738900646;13,9125184036727;4,71845149732027e-05;0,0883482858358248
"Btbd35f2";0,180563687468865;0,307348394789776;0,324580925172824;0,557292520430947;13,4496880054243;5,85852943980974e-05;0,0983653794961023
"Hmbs";-0,0189472303747281;-0,51493568380431;0,0683457564761905;0,188558754537687;13,2099380383597;6,56620376286816e-05;0,0983653794961023
"Csf2ra";0,221000148746877;-0,106616527670421;0,0921595422712453;0,105970455736223;13,1279428114635;6,82946984324573e-05;0,0983653794961023
"Ube2l6";-0,197106990937165;-0,77622123718632;0,0156812545030148;0,370631598759987;12,5665052120788;8,97811018951103e-05;0,12007581084886
"Wasf2";0,12133091031686;-0,404498609143207;0,0744197167212968;0,187173974685723;12,1557065583169;0,000110225381560478;0,137590669622559
"Zbtb11";0,258442703249197;-0,152978597055132;-0,0673714374322517;0,138208443078457;11,6025271848114;0,00014632331822111;0,155914548054391
"Hnrnpu";0,202121105047003;-0,143266054644188;0,109694909374809;0,119308927824018;11,5647964078715;0,000149223550609366;0,155914548054391
"H2bc3";-0,139815996386901;-0,874928423255875;-0,102052812892668;0,476809500534161;11,5562941325311;0,000149885807785679;0,155914548054391
"Calm2";0,180648393973089;-0,503576611181307;-0,270903752164721;0,516393723398852;11,3489931721704;0,000167079601482068;0,159847639164165
"Ptprc";0,343021383713244;-0,0878310617537063;-0,0246510859751281;0,141607449776886;11,3078904908311;0,000170740909169158;0,159847639164165
"Lrch4";0,230393074829685;-0,312276565046641;0,0119851495984639;0,345854100705825;11,1621658428396;0,000184452469475605;0,164461335164821
"Tmsb4x";0,143847649425296;-0,911243203652399;-0,202046650797986;0,900677934426873;10,5204320167559;0,000261137492892564;0,213389631441563
"Prex1";0,105702517385327;-0,205878166869987;0,132120418520605;0,0925375570347507;10,5136145100354;0,000262121422941463;0,213389631441563
"Fcna";-0,257649459469113;-0,342482415456311;-0,14086146977836;0,172842529046636;10,3805291791327;0,000282171393359857;0,220140715386249
"Sdsl";-0,000569101025742445;-0,226841528026703;-0,105819936074792;0,0863984810907333;10,1829240911421;0,000315132399122182;0,23602156164655
