"","groupWnt1.OVX.b1","groupWnt1.OVX.b2","groupWnt1.OVX.b3","groupWnt1.OVX.b4","AveExpr","F","P.Value","adj.P.Val"
"Hbb-bs",-0.717804728958908,-1.16768060676854,-1.10286886248661,-1.01531938983159,1.28849901286569,28.3240881727391,1.59229819170764e-08,0.000297600532030159
"Hbb-bt",-0.795382831777335,-0.794178994083239,-0.533969638347782,-1.3235707943201,0.767417103478523,24.2150946028625,6.6855176009574e-08,0.000624761619809469
"Bpgm",-0.508829586653075,-0.458996944295517,-0.823867573681394,-1.14406302123985,1.02427356583954,18.2134193475889,8.03210495433069e-07,0.00500400138654802
"Hba-a2",-0.214585265226333,-1.44700363518212,-1.04195168010336,-0.795508273812204,2.45494902390629,13.2492131250929,1.04400084846496e-05,0.0487809396445253
"Ppp1r15a",-0.366470626770177,-0.286428020535011,-0.541059478449776,-0.313442693156705,0.181404054894474,12.5889764011457,1.54005701844109e-05,0.0536585822009397
"Satb1",-0.0701464917868461,0.0865058597637858,0.562554322849535,0.188474365670574,0.143769253942774,12.4028510929119,1.72258690853739e-05,0.0536585822009397
"Ddb1",-0.0922149434325362,-0.12770646819459,0.127969550115325,-0.192249246384914,0.0868681795181023,11.9457987568043,2.27864838505741e-05,0.0608399118810328
"Vps13b",-0.0988994951220582,-0.29286946992134,-0.0031233277384127,0.0166730708376534,0.0438454983194477,11.6922604222418,2.66911007855112e-05,0.0623570842101506
"Car2",-0.844133979571937,-0.0885216701433979,-0.180692450354331,-0.760963776625983,0.895199006707429,10.9388062982553,4.32736347485808e-05,0.0848862402348711
"Magee1",0.367793098039799,-0.230606085732129,-0.282156795692914,-0.113508971320697,0.0605703512599292,10.865110438093,4.54179990555757e-05,0.0848862402348711
"Fbxl5",-0.32243192181189,0.344292163059604,0.583269901895128,-0.28855546811704,0.143633549082038,10.1912352601471,7.13623997567534e-05,0.112609047503159
"Fis1",-0.18619217339899,-0.21537556185329,-0.213934682807369,-0.311419349433971,0.137640080839315,10.1721327012977,7.23011540951265e-05,0.112609047503159
"4933434E20Rik",-0.658080180954158,0.287310275401753,0.322538462271322,-0.169514501906168,0.266782081221045,9.50213063871704,0.000115441123864309,0.165968815771073
"Marchf8",-0.0761851499050126,-0.350478574597127,-0.0433589745192728,-0.0558109361306996,0.159008522830056,9.20099211054558,0.000143358478606055,0.187380341457173
"Hmbs",-0.48005586416597,0.0593648086718307,0.198642851361913,-0.392355881498952,0.224647351100103,8.9871464066269,0.000167607746854145,0.187380341457173
"Mmp9",-0.446633070586024,0.127782299133633,0.46755797140565,-0.372326534450496,0.335156848466949,8.98310259708561,0.000168107190895528,0.187380341457173
"Nagpa",0.155948228918846,-0.308587810504578,0.23582715711606,0.119390415300531,0.0713375985100241,8.96441047779559,0.000170436907692453,0.187380341457173
"Fech",-0.255020869227938,-0.324154489654904,-0.199077964238397,0.0116847163479818,0.107026272496001,8.86038009075889,0.000184059974923479,0.191115607295545
"Foxd1",0.166628874609497,-0.181016464063129,0.242921116978998,-0.0273157109671232,0.0656752187318579,8.70661506330988,0.00020640754707608,0.1960153276928
"Bex3",-0.0190584511346078,-0.311556893379403,-0.199004842433127,-0.0805966624744884,0.0816799296091762,8.6533819032781,0.000214816902707981,0.1960153276928
"Actb",-0.554607525969423,-0.199673551702567,-0.0390672666029298,-0.228862062379748,1.07920642445441,8.62022663736396,0.000220241941227865,0.1960153276928
"Gclm",-0.0538011392623544,-0.422122044378866,-0.324260852843287,-0.219786536526242,0.104552917163558,8.38797927062029,0.000262678819515125,0.22315759712444
"Mterf1a",-0.0521992423653453,-0.105522383243013,0.182189562183191,0.369999235674568,0.0755370256232965,8.14585294322389,0.000316551494541412,0.255946301162187
"Fryl",0.264184770488652,-0.295124922429722,0.0304340838921125,0.278977217861155,0.0533784213388004,8.09257852038383,0.00032994706534289,0.255946301162187
"Timp3",0.109793033684667,0.551661047755905,0.36254816858537,-0.0290500580294772,0.300914998409952,8.04527610191013,0.00034235727817307,0.255946301162187
"Dnase2a",-0.0960180854240359,0.152656531311647,-0.281092298333113,-0.455077652201675,0.123571616523231,7.87302000080865,0.000392013394699344,0.264168009940055
"Wnt5b",-0.266636066616849,0.0705321157969698,0.219988303126213,-0.0893697473645768,0.0321435590625445,7.83346552844302,0.000404485991076566,0.264168009940055
"Gorasp1",-0.173800240945821,0.364027874710843,0.40820915180478,0.0572030052975173,0.0697625309024318,7.82696113423635,0.000406577895914969,0.264168009940055
"Slc35c2",-0.196690067958432,-0.393905043761068,-0.427849519633556,-0.0905342318179907,0.173115783242413,7.81673198290942,0.000409891508200193,0.264168009940055
"Larp1b",-0.0737907892482882,-0.377108515029751,-0.341857235196006,-0.231005802997262,0.218282115007292,7.57731543943614,0.000496448099716528,0.309287166123397
"Garre1",-0.374849540326861,0.00582178483479596,-0.0141492530158575,-0.204247070487494,0.0980348732494878,7.45393759092847,0.000548633148198943,0.325136601580887
"Slc66a2",-0.269665715475085,-0.0332183207748124,0.183029774249839,-0.113603598923522,0.112465619791244,7.43604812239567,0.000556681179806762,0.325136601580887
"Mpeg1",-0.102449721138803,-0.0786805903911194,0.0884365907237857,-0.14996317706983,0.0911121488590943,7.36812739802885,0.000588422719924693,0.327970522484768
"Mlf1",-0.170642332710493,0.15523819387503,0.305084344609966,-0.180906188295682,0.0606736537043231,7.32992536859072,0.000607133696535466,0.327970522484768
"Rhox2h",0.00884885320275348,0.407132459589275,0.286138691448962,-0.0800908414521744,0.0689277598055345,7.3158746412339,0.000614177008398443,0.327970522484768
"Snca",-0.247479162259542,-0.300809549417793,-0.212787562338438,-0.493406904765251,0.369563836839387,7.17378305495651,0.00069059724920316,0.358535071877974
"Kifbp",-0.00134154674155503,0.00823844355781087,-0.0551498040388806,-0.283878452954802,0.0731205251516129,7.05572602830246,0.000761947807524577,0.366976173177426
"Sri",-0.391431596733239,0.497105226399454,0.141847604176987,0.0399190564141277,0.141051954875908,7.05026226708299,0.00076543789458533,0.366976173177426
"Dpf1",-0.0569116761254889,0.0366489663775101,-0.0502251891477819,-0.261146276395527,0.0298107026702206,7.02030388487262,0.000784884901290468,0.366976173177426
"Slk",-0.405332025973786,0.113307994430622,0.221370142601935,-0.0620462647475531,0.108644712865285,6.99207873893136,0.000803697379954615,0.366976173177426
"Nsg2",0.00291098198569423,0.096801668402716,0.330131487413066,-0.0894105613596836,0.0471342662533061,6.95177791171798,0.000831410399261022,0.366976173177426
"Cst3",-0.315665306103046,0.693496007797628,0.589999462958317,-0.0137281643030685,0.386793890696328,6.9495176759271,0.000832995027197241,0.366976173177426
"Traj39",-0.206665063334478,0.0909014680151474,0.227409453780569,-0.131086920547323,0.0368025464972198,6.93352613124092,0.000844300451933082,0.366976173177426
"Rbm25",-0.0158272841368112,-0.191417155896914,-0.033748285978278,-0.197572682273121,0.0915527792570664,6.88743467832388,0.000877825842763548,0.372876477301152
"Ccndbp1",-0.136353234303241,-0.284439322411057,0.0510194814459061,0.0655135699117731,0.0728318195834396,6.83866548968395,0.000914875914902129,0.379851237698283
"Cadps2",0.177612048582354,-0.164665409089133,0.371746154274191,0.175896948154525,0.0578691257580537,6.7579483539225,0.00097997245542143,0.379851237698283
"Csnk2a2",-0.276949764518466,0.246464202167748,0.127645811393399,-0.301715488780145,0.061307847131126,6.72762550954826,0.00100570931661736,0.379851237698283
"Mau2",-0.0818845790618848,0.00443700569537335,-0.0661123581031962,0.21988544722245,0.040705484354533,6.71760894240421,0.0010143711235093,0.379851237698283
"Nusap1",-0.127487473720665,-0.17108162140726,-0.333758654761164,-0.182942428854587,0.0881866265077807,6.70229035550329,0.00102777451366299,0.379851237698283
"Selenop",-0.220116016199637,-0.249134113799363,-0.235989014098407,-0.0550476971923471,0.125233242432926,6.6957631294904,0.00103354385387217,0.379851237698283
"Blmh",-0.171908309002449,-0.0794370118555816,0.121888855498745,-0.0779654496746122,0.0360222116653135,6.67371148892797,0.00105329595460625,0.379851237698283
"Psma1",-0.128137839507204,-0.00404316715142981,0.288612298072358,0.00303124896103297,0.0397558730871966,6.66262516498111,0.00106338031937872,0.379851237698283
"Alas2",-0.139494885763868,-0.542398463043205,-0.315926927799918,-0.150457952486216,0.371897604261712,6.63201777799156,0.00109176834700111,0.379851237698283
"Neil2",-0.181270946439734,0.0145470956608313,0.261042303367812,-0.0491916362713969,0.0329651377390554,6.60866607665724,0.00111397865512778,0.379851237698283
"Cpeb3",-0.0712634576508346,-0.250529357027633,-0.032115495270467,-0.171090537661519,0.0710712345031432,6.59187613287923,0.00113025017540069,0.379851237698283
"Sppl2b",-0.0724421552130901,-0.266491365386536,0.514681443755144,0.0445722497266594,0.328335899653664,6.55141887236613,0.00117052535670056,0.379851237698283
"Sqstm1",-0.11847357588677,-0.549184668683025,-0.115042006915922,0.340485108994863,0.233954703758682,6.54495316519168,0.00117710477096939,0.379851237698283
"Rer1",-0.0210860921221978,0.0510861649588133,0.191631872650062,-0.240879151629147,0.0935983416477331,6.54331452043618,0.00117877858675765,0.379851237698283
"Gm3264",-0.203484977853107,0.475223180408105,0.172321832120707,-0.32331783211225,0.293442046402229,6.42641095595138,0.00130510939553325,0.405106969754755
"Cdk1",-0.447340530434298,0.237697179999293,0.222736728106266,-0.445479549780594,0.398374773417402,6.42038588376079,0.00131200597854791,0.405106969754755
"Aqp1",0.202734706611045,-0.388586058194849,-0.287071822834983,-0.0565826837408972,0.190291642253646,6.41087924768975,0.00132296809864993,0.405106969754755
"Cyb5b",-0.180782244444794,-0.311517324071083,-0.11638470155087,0.0280353299960481,0.114991410382492,6.39300018732449,0.00134385404627046,0.405106969754755
"Rdh19",-0.0126876964638387,-0.12149430455074,0.162219970120229,0.276682290254222,0.0413813069310033,6.37444867117522,0.00136590349067047,0.405218035565573
"Gigyf1",-0.22792915616086,0.467899480291311,0.22333371257581,-0.237469548517938,0.228493786407149,6.33355387338322,0.00141590491504965,0.413488482223093
"Ccnd2",-0.0999937395370188,0.0834297719636331,0.25883220538105,-0.164921256701079,0.0561626263226595,6.28859608983125,0.001473170737876,0.413930333240841
"Usf2",-0.236964650139853,0.13924109932956,0.671502695670093,0.211904656098906,0.261605954485549,6.27142125960003,0.00149570517334301,0.413930333240841
"Olfr710",-0.0487361067941476,0.0776414607110904,-0.0327618001800792,-0.294179637116434,0.0533959015428093,6.26704158232623,0.00150151109577717,0.413930333240841
"Ccdc86",-0.121471751611233,0.186323419897037,0.0726312514379542,-0.306606852540735,0.0531346974381271,6.26366301512618,0.00150600656288802,0.413930333240841
"Slc4a1",-0.281436955151331,0.236526894330308,-0.121790221808225,-0.631709082446376,0.335708189144671,6.22451004224863,0.00155917897092394,0.422334129950268
"Hspbap1",0.296015067164864,-0.167957757398212,-0.0166345861689071,0.181071403128009,0.0385982744182077,6.16914662110895,0.00163786400034738,0.434609703705858
"Atxn2l",-0.189217091653109,-0.0886750126221946,0.169159213079239,-0.148578495454704,0.0798904347813749,6.16018135652097,0.00165100529497678,0.434609703705858
"Ddx6",-0.00333764533422939,-0.271387535034938,-0.098760053178636,-0.0475814245080616,0.0664368914152136,6.13828529109165,0.00168358270145754,0.435740503447363
"H3c4",-0.579258423620377,0.0492229143462375,0.0360182808284208,-0.487554687687452,0.340370191516397,6.11506286397981,0.00171889518581454,0.435740503447363
"Traf7",-0.135610871805797,-0.0491040416744034,-0.206172096276041,-0.248175460677829,0.0540158837000432,6.11094295483745,0.00172524329882851,0.435740503447363
"Ppm1d",-0.0104557794713334,0.121516579069602,0.421971741102791,0.0275176654806995,0.0434106108091231,6.06832253012348,0.00179242375411099,0.441729800149813
"Ube2l6",-0.527171886570559,0.0774430430683703,-0.116491389616082,-0.322307934350034,0.364358702459107,6.06596219928761,0.0017962260466231,0.441729800149813
"Ckap4",-0.401108529632274,0.456553029167818,0.690494927295977,0.0116896055229675,0.355812514217636,6.01656329682665,0.00187783972749318,0.453349963891305
"Cd40",0.234293345921587,-0.0535699292413418,0.209548638095674,-0.00209713322614438,0.0518558362534655,6.00823498023254,0.00189199021848699,0.453349963891305
"Col6a3",0.312836743928081,-0.0478979865328075,0.076592836977211,-0.0184138049776714,0.0725425535897227,5.96795842180011,0.00196207076843931,0.459594215183522
"Pcbp2",-0.303047862572096,-0.0236215109682513,0.194554182717143,-0.174707441467027,0.152504717911203,5.95412414672243,0.00198678603663923,0.459594215183522
"Dek",-0.186532812095272,-0.176949418853059,-0.0606571153081191,-0.193878117836718,0.135932630487896,5.9513287662497,0.00199182083626888,0.459594215183522
"Sigirr",-0.193411262740218,-0.0453001933106575,0.0510182717856576,-0.0994887813274383,0.0362401135582396,5.92483467174465,0.00204023092991342,0.460985109950514
"Arg1",-0.197037489234514,-0.249371163720579,0.0668686254072572,-0.00756163867851335,0.0636670884799032,5.92108830545258,0.00204717839089849,0.460985109950514
