"","groupWnt1.OVX.b1","groupWnt1.OVX.b2","groupWnt1.OVX.b3","AveExpr","F","P.Value","adj.P.Val"
"Hba-a2",-1.30400875185917,-2.12482820107549,-0.89170652368853,2.15477811748827,58.2906734190325,7.04799084615345e-09,9.544389203861e-05
"Vmn1r91",0.316571253402306,0.452687737431445,0.24625214932927,0.188486701138717,18.0569677218961,2.07967141948127e-05,0.140814551813077
"Hbb-bt",-0.849858247701847,-1.12611907196293,-0.151657542467665,0.485270771639505,16.8047894857923,3.21553854963962e-05,0.145149410130732
"Pin4",-0.0182083709134062,0.422570254677544,0.133630784155344,0.0409001803297347,14.8154076260369,6.76931725490953e-05,0.214921148427833
"Zfp992",-0.0541965000636646,0.51602496347803,0.0786349209304107,0.0506414158816237,14.4137938516019,7.93535476398735e-05,0.214921148427833
"Timp3",0.343414245702372,0.720759285266282,0.387688440529624,0.174807370727164,13.6118211791814,0.000110044423522362,0.248370263889971
"Mfsd12",0.0864949496831523,0.319991355377055,0.0639281832720983,0.0399727679571288,12.3726951522672,0.00018743474317475,0.271001247937702
"Pf4",-0.106640209574134,0.11224913824676,-0.152469266644618,0.0660597196278235,12.2984343700305,0.000193732814728747,0.271001247937702
"Klhl7",0.173808046877459,4.98179626532005e-05,0.180902649833555,0.0849174787931825,11.8988321712955,0.000231981625773628,0.271001247937702
"Pvalb",0.0531974478182344,0.651796152830403,0.155300193122605,0.0397216372989676,11.6501386582595,0.000260040282185371,0.271001247937702
"Ddt",0.0500816857964897,-0.156668202795186,-0.133476073903873,0.016201365466323,11.6492245947345,0.000260150203735013,0.271001247937702
"Prune2",0.0619437750571806,0.410636450644961,0.0289888911440152,0.0191663119951748,11.4505156482531,0.000285332896841108,0.271001247937702
"Fabp4",0.127487237871584,0.453240338789622,0.0378027230416324,0.056853562605896,11.2363442220925,0.000315585421620971,0.271001247937702
"Rex1bd",0.099131026358213,0.330652062313214,0.0532442422617977,0.0248772648590569,11.1954780536281,0.000321758112622415,0.271001247937702
"Ifnar1",0.0362009261560834,0.434877545900562,0.0746291223667895,0.0255700448349916,11.1183797603859,0.000333776114298223,0.271001247937702
"Ctf1",0.136487581701271,0.325324986051713,0.0690805181503097,0.0291564309091068,10.9920315648477,0.000354576458657946,0.271001247937702
"Tmsb4x",-0.224280103160108,-0.896727437246261,-0.382366998952651,0.883719305483104,10.8060932725077,0.000387885884921531,0.271001247937702
"Prag1",0.0587589592907839,0.266137760872385,0.0344290456771622,0.0107822894753769,10.786223202944,0.000391648517473058,0.271001247937702
"Rnaseh2b",0.0670656692220564,0.301251229824482,0.0698428358768247,0.0145613485192687,10.7688526241048,0.000394971424536734,0.271001247937702
"Myh6",0.0963669154599603,0.00367797632112122,-0.111788584844012,0.0175496136974687,10.7416539929184,0.000400238144938269,0.271001247937702
"Zbtb17",0.0979479638457212,0.130210443800823,-0.103025298535705,0.0372968831693957,10.2918186586043,0.000499851197142157,0.309202371595919
"Cers4",0.0814999784477296,0.31649658526926,0.0565079676801293,0.0199572291152286,10.2594083793844,0.000508039456180894,0.309202371595919
"Ippk",-0.0418160639795028,-0.213404317051586,0.0869273894896832,0.0305478087423207,10.1880837926902,0.000526594727283797,0.309202371595919
"Rpia",0.00860094249317116,0.326060039183153,0.058647648909365,0.0186527932202774,10.109269730491,0.000547988252717623,0.309202371595919
"Plvap",0.0424061894774987,0.354724582185486,0.0526370168271473,0.0239303401281029,9.702300078234,0.000675210389509828,0.326672486224327
"Spint5",0.0545019734585317,0.268987639383139,0.0323099990416797,0.0105792294464336,9.62759137834515,0.000702000199463644,0.326672486224327
"Rala",0.0665799001940333,0.278771957428045,0.0812764305592206,0.0191653389132081,9.61143506416399,0.00070794929320155,0.326672486224327
"Nkain3",-0.00611599451396264,-0.0652513245872278,-0.138548723518288,0.019254539126392,9.59177444276008,0.000715265182635835,0.326672486224327
"Adamts14",0.10121081576481,0.184068300607723,0.125612185534422,0.029867569405578,9.58738421249501,0.000716910387231407,0.326672486224327
"Incenp",0.0839793258237741,-0.258270726145638,0.0509949411504145,0.0261986749438112,9.56941821479398,0.000723687386407459,0.326672486224327
"Errfi1",-0.12322112413078,-0.210442248613527,-0.0082683149566884,0.0247634244616779,9.4529950339906,0.000769385798231097,0.336097499343404
"Slc7a6os",-0.0516695902795436,-0.22267569158942,0.0741966440080389,0.0526896851520087,9.36378581565529,0.000806596553316228,0.33707456130677
"Ccng2",-0.0764083290667444,0.16022117735542,0.136920245192886,0.0209475532131864,9.32956158950394,0.000821404557903072,0.33707456130677
"Nsf",0.0546024109987235,0.235720970255721,0.0317970298478841,0.00971680031814811,9.13861558198895,0.000909833224653215,0.362381221419231
"Ostf1",0.0734335060177316,0.473892181219957,0.0511732202917912,0.0264893583540258,9.05461353000866,0.00095207918506765,0.368373037833889
