"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Hbb-bs",-0.715995284572767,1.28849901286569,-8.48541368611796,1.73071612875738e-08,0.000323470844464755,8.19692230846647
"Satb1",-0.190720552646748,0.143769253942774,-6.95026982042474,4.75949094925043e-07,0.00444774429207453,5.66784361303846
"Oaz1",-0.376900212283486,1.0930846453518,-6.53489851987237,1.2304524912031e-06,0.00766571902019533,4.91294785713538
"Hba-a2",-0.735572176404069,2.45494902390629,-6.30711821886905,2.09025660626146e-06,0.00976672399275669,4.48665971169595
"Atp13a2",-0.25790414547733,0.264068223222272,-6.15816428368125,2.96571388927507e-06,0.0110858385181102,4.20333165272789
"Actb",-0.320022994042223,1.07920642445441,-5.99133260781633,4.40134991243658e-06,0.0137102049772399,3.88184952496311
"Hbb-bt",-0.522628811370373,0.767417103478523,-5.49551332412884,1.44723643221996e-05,0.0386412127402731,2.90220505975577
"H1f2",-0.264443237492445,0.595734733219988,-5.38818730829504,1.87820653726589e-05,0.0438796002268743,2.68576744684095
"Eef2",-0.33106881560389,0.509621955512967,-5.30465207576135,2.30215515334344e-05,0.0478080886844321,2.51633062840822
"Fbxl5",-0.213944494341141,0.143633549082038,-5.15336074295553,3.33269200395788e-05,0.0622880135539727,2.20742132119278
"Sdc4",-0.201526461168761,0.161766567452247,-5.05300179794766,4.26322652290876e-05,0.0724360942846952,2.00115854933871
"Cdk4",-0.152886980216617,0.0584860950305725,-5.00095635947943,4.84509622163425e-05,0.0754623736519534,1.89380020885253
"Cd47",-0.199405055180642,0.106873668116257,-4.91808696269165,5.94164693979294e-05,0.0755521324281128,1.72234328725248
"Nucks1",-0.333248107643334,0.397694380715085,-4.91019518666859,6.05832689490484e-05,0.0755521324281128,1.70598366426064
"Myh4",-0.189774182421776,0.0993096087018986,-4.90984390017747,6.0635740311487e-05,0.0755521324281128,1.70525532516648
"Anapc5",-0.219529605771031,0.217662946620161,-4.79256350352504,8.09820935394041e-05,0.0945972080157164,1.46153104517078
"H1f1",-0.269245211925296,2.21742528745389,-4.66910687381441,0.000109878985211189,0.120802249035125,1.20387965458218
"Cyfip2",-0.169664322889886,0.192759058869156,-4.61598477040308,0.000125313979188583,0.123288411084958,1.09271760457017
"Zfp513",-0.213691939236549,0.0928277568427188,-4.61592240567775,0.000125333323200332,0.123288411084958,1.09258700706264
"Usf2",-0.220745882032029,0.261605954485549,-4.48286530834898,0.000174243400501031,0.162830457768213,0.813510775439759
"Arhgdia",-0.264104697085397,0.25244930053655,-4.45070505312636,0.000188693098707798,0.16793685784994,0.745941889861098
"Med13l",-0.174453453192538,0.140077870102932,-4.37030133265656,0.000230285356735587,0.195637878063097,0.576862111048527
"Zfyve26",-0.128309274344647,0.0531802966551067,-4.34645217153241,0.000244301572590776,0.198521582248766,0.526675803567048
"Bcl7a",-0.158967282933961,0.0953951508955051,-4.32629831513977,0.000256808408456168,0.199989548085241,0.484255798590219
"H2az1",-0.275706885409036,0.523519196167563,-4.26993078954388,0.000295287194763012,0.220756706804827,0.36557499775432
"Eif3h",-0.18533312779709,0.261410904866709,-4.24339440747574,0.000315343393368294,0.226683385463593,0.309688963827831
"Atp1b1",-0.195093463328044,0.173932384500936,-4.20299239335574,0.000348517135601299,0.235257845192561,0.224592094804112
"Ubl3",-0.16496290118671,0.0880161185591573,-4.19846334442433,0.000352446210026308,0.235257845192561,0.215052396376803
"Rmc1",-0.246159703154413,0.326212373427519,-4.10473261926931,0.000444425383562821,0.286424497199625,0.0176382848338097
"Rbpj",-0.162892895227302,0.0750376170702299,-4.08762736644211,0.000463621852129292,0.288836413876549,-0.0183801028741311
"Ddx5",-0.238710692441627,0.337251834656419,-4.06132335965853,0.000494761367889406,0.29585741967004,-0.073759161663701
"Adipor1",-0.14645552393241,0.0637082667562484,-4.05179161794114,0.00050655095930665,0.29585741967004,-0.093823600008113
"Cd19",-0.179797457494421,0.114812320884705,-3.98693589645323,0.000594518162960229,0.315607132911045,-0.230287863432237
"Ndufa10",-0.108646016952006,0.0564083936604217,-3.97826262588591,0.000607377058213225,0.315607132911045,-0.248528396167698
"Ppm1d",-0.112981221962259,0.0434106108091231,-3.97410860014688,0.000613633055933894,0.315607132911045,-0.257263750008982
"Cd74",-0.221814688333776,0.296350050962021,-3.9727390015962,0.000615709652556724,0.315607132911045,-0.260143703741027
"Wnt1",0.249559415853877,0.227228223874794,3.95870002168542,0.000637401436752796,0.315607132911045,-0.289660742136409
"Rer1",-0.122136922274694,0.0935983416477331,-3.955984476882,0.000641683844334922,0.315607132911045,-0.295369382086343
"Hnrnpab",-0.257429533221276,0.232603930575556,-3.92577922770822,0.000691282488348846,0.328277250072303,-0.358848110609939
"Slc22a22",-0.179758527693397,0.184175915142333,-3.90970547607647,0.000719205218697406,0.328277250072303,-0.392613144661201
"Itm2b",-0.260946206405163,0.440994459146572,-3.90917960526203,0.000720137359709172,0.328277250072303,-0.393717615306133
"Nqo2",-0.111575923883745,0.0397771031629585,-3.88413491246767,0.000765942701990197,0.340844502385637,-0.446303503738299
"Snrnp70",-0.233422986557376,0.316055453177941,-3.85256129974246,0.000827814698385956,0.359322040028078,-0.512553986292141
"Zfp978",-0.149009403671714,0.158077641892572,-3.84223661057257,0.000849099721227124,0.359322040028078,-0.534206634071633
"Lyl1",-0.151917500245302,0.111238592240036,-3.83126028178681,0.000872321318889007,0.359322040028078,-0.557219298168731
"Ms4a2",-0.120307614544881,0.0342406972786992,-3.82567987210173,0.000884366711679594,0.359322040028078,-0.568916353548389
"Hoxc11",-0.122985839927906,0.0563838036884455,-3.81585145850429,0.000905982221214757,0.360272504563911,-0.589513113560139
"Nadk",-0.171100819025581,0.219018120495918,-3.77943006966834,0.000990727984613133,0.37067390300862,-0.665786288217225
"Tpm1",0.155748610889368,0.139712423088014,3.76997808535965,0.00101397019470418,0.37067390300862,-0.685566197630222
"N4bp2",-0.121034887281476,0.0420428422399818,-3.76484340542584,0.00102682082238135,0.37067390300862,-0.696308813933233
"Sptb",-0.137830893364876,0.107432731839346,-3.76387908160574,0.00102925209864717,0.37067390300862,-0.698326135930015
"H1f4",-0.212602818336452,0.181227042869398,-3.76306758582052,0.00103130245887899,0.37067390300862,-0.700023697767087
"Ptprc",-0.181819939539807,0.168841421330675,-3.74588697431563,0.00107566924190666,0.371244988500601,-0.735952610874339
"Pcbp2",-0.149401641473732,0.152504717911203,-3.74497276654088,0.00107808207684866,0.371244988500601,-0.737863843230098
"Cln8",-0.143186563966781,0.152302936252773,-3.73955858759643,0.00109248123956838,0.371244988500601,-0.749181391083595
"Cntrl",-0.179312825560291,0.123636239744627,-3.70924329496495,0.00117667576091286,0.388293958867602,-0.812509583888957
"Raph1",-0.0946177644420884,0.0257903432892217,-3.70663787964384,0.00118420308482896,0.388293958867602,-0.817948868894114
"Tmem134",-0.153742539186346,0.213933429577934,-3.69659948515196,0.00121365082565867,0.389393775749205,-0.838900681668918
"Cyp2f2",-0.109960864339273,0.0573451409729382,-3.68042621721402,0.00126261803457422,0.389393775749205,-0.872639289145865
"Sart1",-0.150501898458048,0.162855180783817,-3.67684964375251,0.00127370637631689,0.389393775749205,-0.8800972610717
"Fgl1",-0.106055490006475,0.0417750020429489,-3.67292308726204,0.00128599008030575,0.389393775749205,-0.888283745794095
"Cabin1",-0.129972329099928,0.141084049214438,-3.66980312807079,0.00129583346045132,0.389393775749205,-0.894787590380388
"Rgl1",-0.093048606610934,0.0339425738631676,-3.66455352560233,0.00131256328904226,0.389393775749205,-0.90572893011527
"Lcn2",-0.14574094676065,0.0979732060014944,-3.64341816063131,0.00138209432939327,0.40361473463063,-0.949754526198204
"Srsf11",-0.178654701690815,0.250115498931138,-3.62709557414306,0.00143825784413034,0.411731684701944,-0.983726470512456
"Pramel15",-0.102511615749825,0.0524420720291875,-3.61756702160592,0.00147207420752015,0.411731684701944,-1.00354623940365
"Sash3",-0.101208848905404,0.0422230452953163,-3.61648099499565,0.00147597768191708,0.411731684701944,-1.005804652778
