"";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"Hba-a2";-0,851400014365877;2,47033974388005;-15,3586892526171;3,11458129485051e-12;5,8317420164781e-08;15,4825961341052
"H1f1";-0,587945311121428;2,16591148563392;-13,2381474209689;4,25573896129162e-11;3,98422281556122e-07;13,7203783070792
"Wnt1";0,339801215566867;0,226203102104084;8,84819345583971;3,36545439747171e-08;0,000210049227127534;8,54303288104344
"Map3k1";-0,260703318134567;0,359330879835644;-8,28950193442823;9,18048038027663e-08;0,000429738286600749;7,6950453229289
"Hbb-bs";-0,481376451516294;1,29142334916494;-6,7192969114161;1,92072561601428e-06;0,00719273328685026;5,04297346430354
"Tmpo";-0,254895482138204;0,457342380144882;-5,78952596895537;1,3571224822459e-05;0,0377338155210955;3,28566195499894
"Hnrnpa2b1";-0,292845702640459;1,36058950626134;-5,72632980626197;1,55613482683721e-05;0,0377338155210955;3,16151261846954
"Fbxl22";0,101790021513225;0,0467169425305719;5,71001557496921;1,61221172916452e-05;0,0377338155210955;3,12937219413898
"Ubald2";-0,166643001313414;0,227493294014978;-5,35662203466557;3,49700514797199e-05;0,0727532493229194;2,42437817690817
"Cd79a";-0,246020900230033;0,331725438314782;-5,2784675353344;4,15775749890644e-05;0,0729158911551636;2,26631658898517
"Car2";-0,213614069279717;0,883006449879739;-5,25346649171852;4,39501659987552e-05;0,0729158911551636;2,21559971463573
"Sdc4";-0,1388680132602;0,143815844403298;-5,22586044478557;4,67309706185624e-05;0,0729158911551636;2,15951338333474
"Olfr137";0,0882013180450584;0,0550099339064376;5,01589067539574;7,46965785287406e-05;0,107586056644011;1,73014182228823
"Bglap";0,149418919345143;0,111946571314782;4,8955847211313;9,79009306013839e-05;0,11795058379029;1,48206959499212
"H1f2";-0,276707994078644;0,580000790407355;-4,88374268812718;0,000100549423373962;0,11795058379029;1,45757673358235
"Gfod1";0,0960535946166994;0,0595382786452468;4,88267867068441;0,000100790928254894;0,11795058379029;1,45537539819777
"Oaz1";-0,278230576934525;1,02763085030517;-4,80579183803468;0,000119897330034404;0,132056329856716;1,2960375567543
"Zfp513";-0,120405548793007;0,0839106588039182;-4,73247106752724;0,000141540595780073;0,147233673077005;1,143621923613
"Oser1";0,114464630682495;0,119119389984776;4,66110599508597;0,000166413054915529;0,163995686328335;0,994866527241208
"Anp32e";-0,138570474570545;0,170216329038987;-4,63211162329217;0,000177743315857598;0,164648735726649;0,934323431718308
"Pgls";-0,126735912269665;0,123668382444058;-4,6153112517754;0,000184662649554562;0,164648735726649;0,899215913703416
"H1f3";-0,211310002595267;1,01318738900646;-4,56209346952968;0,000208432747277553;0,177395216364769;0,787884210598066
"Zdhhc21";0,109368669289739;0,044418036653927;4,53067358008806;0,000223896165708534;0,182270948118548;0,722070375985267
"Fgd3";-0,0954677494703845;0,12742347256194;-4,46098407910039;0,000262461460225833;0,198779550031197;0,575892966071367
"Pold2";0,116454795876184;0,0742203197288566;4,44354420747613;0,000273120371186881;0,198779550031197;0,539271606557169
"Ckm";-0,171989276295805;0,149958675806663;-4,43891274850804;0,0002760237289474;0,198779550031197;0,529543633249442
"Syk";-0,089703405295794;0,0687114479667247;-4,39627411448751;0,000304259849271255;0,210998571027962;0,439937315357159
"Nucks1";-0,190953508887177;0,405667394092624;-4,34520824496965;0,000341937631920153;0,22865857928832;0,332516941856047
"Uqcrc1";-0,0891444791467925;0,10467841181626;-4,32726496657573;0,000356264773050005;0,230024193468562;0,294747897131983
"H2-Ob";-0,109234172570621;0,118343400981349;-4,30412050258743;0,000375641428324046;0,234450336797981;0,246013988939002
"Tmc4";0,0946763649276326;0,07669048870847;4,25147622541605;0,000423759124743679;0,251424418814198;0,135101235648503
"Cdx1";0,0967303540552556;0,0646650367004332;4,2454043751798;0,000429693516452379;0,251424418814198;0,122303850024116
"Ctsk";-0,075011040735118;0,0564910637331423;-4,22092502112;0,000454478285365838;0,257868224702726;0,0707005649006573
"Gtdc1";0,0842694654069225;0,0886678423331586;4,20114286460231;0,000475553237963959;0,26188996551874;0,0289893472378386
"Pcdhga9";0,0922747626262621;0,0596532485296092;4,18717251456539;0,000491025457094063;0,262684590246549;-0,000472181325061882
"Pdia3";-0,173866508735427;0,369156698347338;-4,14622120186864;0,000539353631844222;0,277379132295486;-0,0868513067968069
"Gm9758";0,0697987811503836;0,0720702087106161;4,12792437151659;0,00056246248856172;0,277379132295486;-0,125452157157072
"Esyt2";-0,0906803465544543;0,068581641378549;-4,12697073874117;0,00056369379525685;0,277379132295486;-0,127464132727734
"Eif3h";-0,171427705862479;0,21196283150975;-4,11623024153241;0,000577749741482801;0,277379132295486;-0,15012500957681
"Sdsl";0,0749628202577916;0,0863984810907333;4,05927416020024;0,000658374473073809;0,30818509084585;-0,270305047756294
