"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Zfp992",-0.219799823717564,0.0506414158816237,-6.75960882060851,4.38093244529859e-06,0.0214282181928435,4.28679819541184
"Fabp4",-0.236851085304949,0.056853562605896,-6.72982610439149,4.62216401393352e-06,0.0214282181928435,4.24022639524806
"Rex1bd",-0.174585886954893,0.0248772648590569,-6.64295369007642,5.40813696325003e-06,0.0214282181928435,4.10353424336192
"Pin4",-0.190408926714442,0.0409001803297347,-6.44971467750412,7.69780116686399e-06,0.0214282181928435,3.7949469265375
"Prune2",-0.187676878829147,0.0191663119951748,-6.43482418100227,7.91176273550564e-06,0.0214282181928435,3.77090890560626
"Ifnar1",-0.19705920796511,0.0255700448349916,-6.31869695339556,9.80803247380002e-06,0.0220624849243566,3.58217334773152
"Prag1",-0.125461957081278,0.0107822894753769,-6.18520989862409,1.2584275081902e-05,0.0220624849243566,3.36245281386898
"Pvalb",-0.287519140508921,0.0397216372989676,-6.03203310939318,1.68011492244436e-05,0.0220624849243566,3.10669470891509
"Timp3",-0.45090731293365,0.174807370727164,-5.92450647895822,2.06190189718623e-05,0.0220624849243566,2.92486230887462
"Ostf1",-0.223926430412602,0.0264893583540258,-5.90575571912855,2.13719813680839e-05,0.0220624849243566,2.89296149226167
"Plvap",-0.160705477708654,0.0239303401281029,-5.89535977619922,2.18016723222348e-05,0.0220624849243566,2.87525027400276
"Pyroxd2",-0.134980517346436,0.0155987491030588,-5.88466100045164,2.2253238212281e-05,0.0220624849243566,2.8570048929962
"Rnaseh2b",-0.140801621247056,0.0145613485192687,-5.86263832334481,2.32135294127843e-05,0.0220624849243566,2.81938991942055
"Spint5",-0.1250424830473,0.0105792294464336,-5.83365719077552,2.45430950754117e-05,0.0220624849243566,2.76977083610871
"Carmil1",-0.153366101542584,0.0182056583191195,-5.80290057651408,2.60406869854919e-05,0.0220624849243566,2.71696447402896
"Slc1a5",-0.334473067506084,0.109933874675545,-5.79866375972988,2.62542822486313e-05,0.0220624849243566,2.70967836972183
"Rpia",-0.139523785871302,0.0186527932202774,-5.71202214641152,3.10438780432863e-05,0.0220624849243566,2.56005269133487
"Nsf",-0.112046248037537,0.00971680031814811,-5.69599589220984,3.20246595233528e-05,0.0220624849243566,2.53224575020523
"Reck",-0.140480626592968,0.0253291642107286,-5.69515302823965,3.20771206481465e-05,0.0220624849243566,2.53078218661153
"Hoxa6",-0.182076194239319,0.0180035593329651,-5.68708528859775,3.25837910565006e-05,0.0220624849243566,2.51676756038024
"Casc3",-0.232389643801503,0.0417825662243065,-5.65205000318353,3.4882013959334e-05,0.0224939158589191,2.45578838271456
"Cers4",-0.141361993336371,0.0199572291152286,-5.50659687512919,4.63691315238382e-05,0.028542308140719,2.2005833417796
"Dcp1b",-0.192392066904518,0.0340143350952063,-5.48033903369907,4.88283996331604e-05,0.028749312514446,2.15416599701343
"Irag2",-0.184713807856495,0.0316388902943568,-5.41453657663468,5.56010516790602e-05,0.0313728934099097,2.03738506237161
"Fbxo33",-0.123863327970747,0.0135329816363198,-5.39377001799975,5.79341608230156e-05,0.0313817762346111,2.00039525642662
"Pfn1",-0.456034843883333,0.460528946080267,-5.35274396230988,6.28450396090043e-05,0.0315620133599204,1.92713032137822
"Ctf1",-0.155705243367814,0.0291564309091068,-5.34525844404475,6.37864130476365e-05,0.0315620133599204,1.91373571820311
"Igfbp7",-0.227703787976291,0.0602826924241888,-5.31460447517793,6.77957332403811e-05,0.0315620133599204,1.8587975417926
"Gpr137b",-0.140943130589041,0.0195191509685118,-5.30913140415955,6.8538476829147e-05,0.0315620133599204,1.84897420694841
